Time,CORE_ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,5.807884E+02,2.716739E+03,3.015148E-02,2.400473E-01,1.666715E+03,2.262093E+03,8.652560E-02,1.998848E-01,1.029015E+03,1.379244E+03,5.342003E-02,1.218741E-01,1.634095E+03,2.246607E+03,8.483214E-02,1.985164E-01,1.029015E+03,1.466182E+03,5.342003E-02,1.295558E-01
00:20:00,5.807889E+02,2.710930E+03,3.015150E-02,2.395340E-01,1.666717E+03,2.249478E+03,8.652569E-02,1.987701E-01,1.029016E+03,1.370775E+03,5.342009E-02,1.211258E-01,1.634097E+03,2.234239E+03,8.483224E-02,1.974236E-01,1.029016E+03,1.453980E+03,5.342009E-02,1.284777E-01
00:30:00,5.807893E+02,2.705296E+03,3.015153E-02,2.390362E-01,1.666719E+03,2.237220E+03,8.652578E-02,1.976870E-01,1.029017E+03,1.362547E+03,5.342015E-02,1.203988E-01,1.634098E+03,2.222235E+03,8.483233E-02,1.963629E-01,1.029017E+03,1.442270E+03,5.342015E-02,1.274430E-01
00:40:00,5.807897E+02,2.699825E+03,3.015155E-02,2.385528E-01,1.666720E+03,2.225301E+03,8.652586E-02,1.966338E-01,1.029018E+03,1.354550E+03,5.342020E-02,1.196922E-01,1.634100E+03,2.210577E+03,8.483241E-02,1.953328E-01,1.029018E+03,1.431017E+03,5.342020E-02,1.264486E-01
00:50:00,5.807901E+02,2.694504E+03,3.015157E-02,2.380827E-01,1.666722E+03,2.213705E+03,8.652593E-02,1.956093E-01,1.029019E+03,1.346774E+03,5.342025E-02,1.190051E-01,1.634102E+03,2.199248E+03,8.483248E-02,1.943318E-01,1.029019E+03,1.420190E+03,5.342025E-02,1.254920E-01
01:00:00,5.807905E+02,2.689325E+03,3.015159E-02,2.376251E-01,1.666723E+03,2.202420E+03,8.652600E-02,1.946121E-01,1.029020E+03,1.339209E+03,5.342029E-02,1.183367E-01,1.634103E+03,2.188235E+03,8.483255E-02,1.933587E-01,1.029020E+03,1.409764E+03,5.342029E-02,1.245708E-01
01:10:00,5.807909E+02,2.684278E+03,3.015161E-02,2.371792E-01,1.666725E+03,2.191500E+03,8.652607E-02,1.936472E-01,1.029021E+03,1.331886E+03,5.342034E-02,1.176896E-01,1.634104E+03,2.177587E+03,8.483262E-02,1.924179E-01,1.029021E+03,1.399753E+03,5.342034E-02,1.236862E-01
01:20:00,5.807912E+02,2.679359E+03,3.015162E-02,2.367446E-01,1.666726E+03,2.180937E+03,8.652613E-02,1.927139E-01,1.029022E+03,1.324797E+03,5.342038E-02,1.170633E-01,1.634105E+03,2.167297E+03,8.483268E-02,1.915087E-01,1.029022E+03,1.390138E+03,5.342038E-02,1.228367E-01
01:30:00,5.807915E+02,2.674560E+03,3.015164E-02,2.363206E-01,1.666727E+03,2.170724E+03,8.652619E-02,1.918115E-01,1.029022E+03,1.317939E+03,5.342041E-02,1.164573E-01,1.634107E+03,2.157358E+03,8.483274E-02,1.906305E-01,1.029022E+03,1.380903E+03,5.342041E-02,1.220207E-01
01:40:00,5.807919E+02,2.669880E+03,3.015166E-02,2.359070E-01,1.666728E+03,2.160858E+03,8.652624E-02,1.909397E-01,1.029023E+03,1.311309E+03,5.342045E-02,1.158714E-01,1.634108E+03,2.147764E+03,8.483280E-02,1.897828E-01,1.029023E+03,1.372032E+03,5.342045E-02,1.212368E-01
01:50:00,5.807922E+02,2.665313E+03,3.015167E-02,2.355036E-01,1.666729E+03,2.151333E+03,8.652629E-02,1.900982E-01,1.029024E+03,1.304902E+03,5.342048E-02,1.153053E-01,1.634109E+03,2.138510E+03,8.483285E-02,1.889651E-01,1.029024E+03,1.363512E+03,5.342048E-02,1.204840E-01
02:00:00,5.807924E+02,2.660858E+03,3.015169E-02,2.351100E-01,1.666730E+03,2.142148E+03,8.652634E-02,1.892866E-01,1.029024E+03,1.298716E+03,5.342052E-02,1.147588E-01,1.634110E+03,2.129594E+03,8.483290E-02,1.881773E-01,1.029024E+03,1.355331E+03,5.342052E-02,1.197612E-01
02:10:00,5.807927E+02,2.656513E+03,3.015170E-02,2.347261E-01,1.666731E+03,2.133232E+03,8.652639E-02,1.884988E-01,1.029025E+03,1.292711E+03,5.342055E-02,1.142282E-01,1.634111E+03,2.120945E+03,8.483295E-02,1.874131E-01,1.029025E+03,1.347440E+03,5.342055E-02,1.190640E-01
02:20:00,5.807930E+02,2.652275E+03,3.015172E-02,2.343516E-01,1.666732E+03,2.124580E+03,8.652643E-02,1.877343E-01,1.029026E+03,1.286884E+03,5.342058E-02,1.137133E-01,1.634111E+03,2.112560E+03,8.483299E-02,1.866722E-01,1.029026E+03,1.339828E+03,5.342058E-02,1.183913E-01
02:30:00,5.807933E+02,2.648141E+03,3.015173E-02,2.339863E-01,1.666733E+03,2.116188E+03,8.652648E-02,1.869928E-01,1.029026E+03,1.281230E+03,5.342060E-02,1.132138E-01,1.634112E+03,2.104433E+03,8.483303E-02,1.859542E-01,1.029026E+03,1.332484E+03,5.342060E-02,1.177424E-01
02:40:00,5.807935E+02,2.644108E+03,3.015174E-02,2.336300E-01,1.666733E+03,2.108052E+03,8.652652E-02,1.862739E-01,1.029027E+03,1.275749E+03,5.342063E-02,1.127294E-01,1.634113E+03,2.096561E+03,8.483307E-02,1.852586E-01,1.029027E+03,1.325398E+03,5.342063E-02,1.171164E-01
02:50:00,5.807937E+02,2.640176E+03,3.015176E-02,2.332826E-01,1.666734E+03,2.100169E+03,8.652655E-02,1.855773E-01,1.029027E+03,1.270436E+03,5.342066E-02,1.122599E-01,1.634114E+03,2.088938E+03,8.483311E-02,1.845850E-01,1.029027E+03,1.318564E+03,5.342066E-02,1.165125E-01
03:00:00,5.807940E+02,2.636341E+03,3.015177E-02,2.329437E-01,1.666735E+03,2.092533E+03,8.652659E-02,1.849026E-01,1.029028E+03,1.265288E+03,5.342068E-02,1.118051E-01,1.634115E+03,2.081560E+03,8.483315E-02,1.839331E-01,1.029028E+03,1.311970E+03,5.342068E-02,1.159299E-01
03:10:00,5.807942E+02,2.632601E+03,3.015178E-02,2.326133E-01,1.666735E+03,2.085074E+03,8.652663E-02,1.842436E-01,1.029028E+03,1.260265E+03,5.342070E-02,1.113613E-01,1.634115E+03,2.074360E+03,8.483319E-02,1.832969E-01,1.029028E+03,1.305572E+03,5.342070E-02,1.153646E-01
03:20:00,5.807944E+02,2.628953E+03,3.015179E-02,2.322910E-01,1.666736E+03,2.077787E+03,8.652666E-02,1.835998E-01,1.029029E+03,1.255363E+03,5.342073E-02,1.109281E-01,1.634116E+03,2.067330E+03,8.483322E-02,1.826757E-01,1.029029E+03,1.299360E+03,5.342073E-02,1.148157E-01
03:30:00,5.807946E+02,2.625394E+03,3.015180E-02,2.319765E-01,1.666737E+03,2.070665E+03,8.652670E-02,1.829704E-01,1.029029E+03,1.250577E+03,5.342075E-02,1.105052E-01,1.634117E+03,2.060462E+03,8.483325E-02,1.820690E-01,1.029029E+03,1.293325E+03,5.342075E-02,1.142824E-01
03:40:00,5.807948E+02,2.621920E+03,3.015181E-02,2.316696E-01,1.666737E+03,2.063699E+03,8.652673E-02,1.823550E-01,1.029029E+03,1.245903E+03,5.342077E-02,1.100922E-01,1.634117E+03,2.053751E+03,8.483329E-02,1.814760E-01,1.029029E+03,1.287458E+03,5.342077E-02,1.137641E-01
03:50:00,5.807950E+02,2.618527E+03,3.015182E-02,2.313698E-01,1.666738E+03,2.056883E+03,8.652676E-02,1.817527E-01,1.029030E+03,1.241335E+03,5.342079E-02,1.096886E-01,1.634118E+03,2.047188E+03,8.483332E-02,1.808961E-01,1.029030E+03,1.281752E+03,5.342079E-02,1.132598E-01
04:00:00,5.807952E+02,2.615212E+03,3.015183E-02,2.310769E-01,1.666739E+03,2.050211E+03,8.652679E-02,1.811631E-01,1.029030E+03,1.236869E+03,5.342081E-02,1.092940E-01,1.634118E+03,2.040767E+03,8.483335E-02,1.803287E-01,1.029030E+03,1.276197E+03,5.342081E-02,1.127690E-01
04:10:00,5.807954E+02,2.611971E+03,3.015184E-02,2.307906E-01,1.666739E+03,2.043738E+03,8.652682E-02,1.805912E-01,1.029030E+03,1.232533E+03,5.342083E-02,1.089109E-01,1.634119E+03,2.034541E+03,8.483338E-02,1.797786E-01,1.029030E+03,1.270824E+03,5.342083E-02,1.122943E-01
04:20:00,5.807956E+02,2.608803E+03,3.015185E-02,2.305106E-01,1.666740E+03,2.037456E+03,8.652684E-02,1.800362E-01,1.029031E+03,1.228324E+03,5.342085E-02,1.085390E-01,1.634119E+03,2.028503E+03,8.483340E-02,1.792451E-01,1.029031E+03,1.265624E+03,5.342085E-02,1.118348E-01
04:30:00,5.807958E+02,2.605705E+03,3.015186E-02,2.302370E-01,1.666740E+03,2.031364E+03,8.652687E-02,1.794979E-01,1.029031E+03,1.224242E+03,5.342086E-02,1.081783E-01,1.634120E+03,2.022652E+03,8.483343E-02,1.787281E-01,1.029031E+03,1.260594E+03,5.342086E-02,1.113903E-01
04:40:00,5.807959E+02,2.602676E+03,3.015187E-02,2.299693E-01,1.666741E+03,2.025460E+03,8.652690E-02,1.789762E-01,1.029031E+03,1.220284E+03,5.342088E-02,1.078286E-01,1.634120E+03,2.016985E+03,8.483346E-02,1.782273E-01,1.029031E+03,1.255728E+03,5.342088E-02,1.109604E-01
04:50:00,5.807961E+02,2.599714E+03,3.015188E-02,2.297076E-01,1.666741E+03,2.019743E+03,8.652692E-02,1.784711E-01,1.029032E+03,1.216449E+03,5.342090E-02,1.074897E-01,1.634121E+03,2.011500E+03,8.483348E-02,1.777427E-01,1.029032E+03,1.251023E+03,5.342090E-02,1.105447E-01
05:00:00,5.807963E+02,2.596819E+03,3.015189E-02,2.294518E-01,1.666742E+03,2.014211E+03,8.652695E-02,1.779822E-01,1.029032E+03,1.212735E+03,5.342091E-02,1.071616E-01,1.634121E+03,2.006196E+03,8.483351E-02,1.772741E-01,1.029032E+03,1.246476E+03,5.342091E-02,1.101429E-01
05:10:00,5.807964E+02,2.593990E+03,3.015189E-02,2.292019E-01,1.666742E+03,2.009049E+03,8.652697E-02,1.775262E-01,1.029032E+03,1.209258E+03,5.342093E-02,1.068544E-01,1.634122E+03,2.001250E+03,8.483353E-02,1.768371E-01,1.029032E+03,1.242192E+03,5.342093E-02,1.097644E-01
05:20:00,5.807966E+02,2.591230E+03,3.015190E-02,2.289579E-01,1.666743E+03,2.004291E+03,8.652699E-02,1.771057E-01,1.029033E+03,1.206024E+03,5.342094E-02,1.065686E-01,1.634122E+03,1.996692E+03,8.483355E-02,1.764343E-01,1.029033E+03,1.238188E+03,5.342094E-02,1.094106E-01
05:30:00,5.807967E+02,2.588545E+03,3.015191E-02,2.287207E-01,1.666743E+03,1.999936E+03,8.652702E-02,1.767210E-01,1.029033E+03,1.203034E+03,5.342096E-02,1.063045E-01,1.634123E+03,1.992525E+03,8.483357E-02,1.760661E-01,1.029033E+03,1.234464E+03,5.342096E-02,1.090815E-01
05:40:00,5.807969E+02,2.585949E+03,3.015192E-02,2.284914E-01,1.666743E+03,1.996003E+03,8.652704E-02,1.763734E-01,1.029033E+03,1.200300E+03,5.342097E-02,1.060628E-01,1.634123E+03,1.988765E+03,8.483360E-02,1.757339E-01,1.029033E+03,1.231030E+03,5.342097E-02,1.087781E-01
05:50:00,5.807970E+02,2.583468E+03,3.015193E-02,2.282722E-01,1.666744E+03,1.992522E+03,8.652706E-02,1.760659E-01,1.029034E+03,1.197842E+03,5.342099E-02,1.058457E-01,1.634124E+03,1.985445E+03,8.483362E-02,1.754406E-01,1.029034E+03,1.227911E+03,5.342099E-02,1.085026E-01
06:00:00,5.807972E+02,2.581073E+03,3.015193E-02,2.280605E-01,1.666744E+03,1.989466E+03,8.652708E-02,1.757959E-01,1.029034E+03,1.195640E+03,5.342100E-02,1.056511E-01,1.634124E+03,1.982536E+03,8.483364E-02,1.751836E-01,1.029034E+03,1.225079E+03,5.342100E-02,1.082524E-01
06:10:00,5.807973E+02,2.578777E+03,3.015194E-02,2.278577E-01,1.666745E+03,1.988475E+03,8.652710E-02,1.757084E-01,1.029034E+03,1.197474E+03,5.342101E-02,1.058132E-01,1.634124E+03,1.982499E+03,8.483366E-02,1.751803E-01,1.029034E+03,1.223415E+03,5.342101E-02,1.081053E-01
06:20:00,5.807974E+02,2.576692E+03,3.015195E-02,2.276735E-01,1.666745E+03,1.990115E+03,8.652712E-02,1.758533E-01,1.029034E+03,1.214188E+03,5.342103E-02,1.072902E-01,1.634125E+03,1.988286E+03,8.483368E-02,1.756918E-01,1.029034E+03,1.223221E+03,5.342103E-02,1.080882E-01
06:30:00,5.807976E+02,2.575040E+03,3.015195E-02,2.275275E-01,1.666745E+03,1.995154E+03,8.652714E-02,1.762986E-01,1.029035E+03,1.256152E+03,5.342104E-02,1.109986E-01,1.634125E+03,2.002523E+03,8.483370E-02,1.769499E-01,1.029035E+03,1.224899E+03,5.342104E-02,1.082366E-01
06:40:00,5.807977E+02,2.573971E+03,3.015196E-02,2.274322E-01,1.666746E+03,2.004200E+03,8.652716E-02,1.770971E-01,1.029035E+03,1.321721E+03,5.342105E-02,1.167925E-01,1.634125E+03,2.024370E+03,8.483371E-02,1.788796E-01,1.029035E+03,1.228737E+03,5.342105E-02,1.085752E-01
06:50:00,5.807978E+02,2.573962E+03,3.015197E-02,2.274296E-01,1.666746E+03,2.017559E+03,8.652717E-02,1.782757E-01,1.029035E+03,1.406115E+03,5.342106E-02,1.242489E-01,1.634126E+03,2.048781E+03,8.483373E-02,1.810347E-01,1.029035E+03,1.234871E+03,5.342106E-02,1.091160E-01
07:00:00,5.807979E+02,2.575295E+03,3.015197E-02,2.275455E-01,1.666746E+03,2.032857E+03,8.652719E-02,1.796255E-01,1.029035E+03,1.508576E+03,5.342108E-02,1.333016E-01,1.634126E+03,2.075765E+03,8.483375E-02,1.834172E-01,1.029035E+03,1.243511E+03,5.342108E-02,1.098782E-01
07:10:00,5.807981E+02,2.578040E+03,3.015198E-02,2.277857E-01,1.649641E+03,2.047434E+03,8.563921E-02,1.809110E-01,1.017632E+03,1.622420E+03,5.282909E-02,1.433594E-01,1.617021E+03,2.098576E+03,8.394577E-02,1.854302E-01,1.017632E+03,1.251706E+03,5.282909E-02,1.106008E-01
07:20:00,5.807982E+02,2.582343E+03,3.015199E-02,2.281632E-01,1.632531E+03,2.064661E+03,8.475093E-02,1.824301E-01,1.006225E+03,1.740074E+03,5.223690E-02,1.537531E-01,1.599910E+03,2.117574E+03,8.305748E-02,1.871057E-01,1.006225E+03,1.261669E+03,5.223690E-02,1.114793E-01
07:30:00,5.807983E+02,2.588049E+03,3.015199E-02,2.286644E-01,1.615418E+03,2.084143E+03,8.386257E-02,1.841480E-01,9.948160E+02,1.850887E+03,5.164465E-02,1.635415E-01,1.582798E+03,2.130914E+03,8.216912E-02,1.882808E-01,9.948160E+02,1.273030E+03,5.164465E-02,1.124810E-01
07:40:00,5.807984E+02,2.595198E+03,3.015200E-02,2.292938E-01,1.598300E+03,2.105726E+03,8.297393E-02,1.860522E-01,9.834038E+02,1.955961E+03,5.105223E-02,1.728224E-01,1.565680E+03,2.138800E+03,8.128050E-02,1.889746E-01,9.834038E+02,1.285703E+03,5.105223E-02,1.135990E-01
07:50:00,5.807984E+02,2.603370E+03,3.015200E-02,2.300143E-01,1.581177E+03,2.127946E+03,8.208507E-02,1.880134E-01,9.719886E+02,2.061831E+03,5.045966E-02,1.821743E-01,1.548557E+03,2.150325E+03,8.039165E-02,1.899907E-01,9.719886E+02,1.298775E+03,5.045966E-02,1.147526E-01
08:00:00,5.807983E+02,2.612485E+03,3.015199E-02,2.308179E-01,1.564050E+03,2.154114E+03,8.119600E-02,1.903234E-01,9.605705E+02,2.166457E+03,4.986695E-02,1.914158E-01,1.531430E+03,2.165115E+03,7.950260E-02,1.912953E-01,9.605705E+02,1.312649E+03,4.986695E-02,1.159772E-01
08:10:00,5.807982E+02,2.622592E+03,3.015198E-02,2.317099E-01,1.564024E+03,2.185702E+03,8.119475E-02,1.931127E-01,9.605534E+02,2.271564E+03,4.986612E-02,2.007003E-01,1.531405E+03,2.187559E+03,7.950136E-02,1.932767E-01,9.605534E+02,1.329669E+03,4.986612E-02,1.174800E-01
08:20:00,5.807979E+02,2.633634E+03,3.015197E-02,2.326847E-01,1.564000E+03,2.219035E+03,8.119361E-02,1.960567E-01,9.605381E+02,2.372519E+03,4.986538E-02,2.096184E-01,1.531382E+03,2.214628E+03,7.950026E-02,1.956672E-01,9.605381E+02,1.347479E+03,4.986538E-02,1.190528E-01
08:30:00,5.807974E+02,2.645757E+03,3.015195E-02,2.337554E-01,1.563976E+03,2.253951E+03,8.119240E-02,1.991409E-01,9.605216E+02,2.468486E+03,4.986458E-02,2.180961E-01,1.531358E+03,2.245734E+03,7.949906E-02,1.984148E-01,9.605216E+02,1.365987E+03,4.986458E-02,1.206876E-01
08:40:00,5.807968E+02,2.658973E+03,3.015192E-02,2.349227E-01,1.563953E+03,2.290134E+03,8.119131E-02,2.023373E-01,9.605069E+02,2.558941E+03,4.986386E-02,2.260872E-01,1.531336E+03,2.281650E+03,7.949799E-02,2.015876E-01,9.605069E+02,1.385257E+03,4.986386E-02,1.223898E-01
08:50:00,5.807962E+02,2.673388E+03,3.015188E-02,2.361963E-01,1.563933E+03,2.328823E+03,8.119030E-02,2.057552E-01,9.604934E+02,2.640831E+03,4.986320E-02,2.333218E-01,1.531315E+03,2.318424E+03,7.949700E-02,2.048364E-01,9.604934E+02,1.406188E+03,4.986320E-02,1.242390E-01
09:00:00,5.807954E+02,2.688992E+03,3.015184E-02,2.375749E-01,1.563914E+03,2.369202E+03,8.118937E-02,2.093227E-01,9.604809E+02,2.715669E+03,4.986259E-02,2.399334E-01,1.531297E+03,2.356549E+03,7.949608E-02,2.082047E-01,9.604809E+02,1.428295E+03,4.986259E-02,1.261921E-01
